id,review,sentiment
29,"Great quality, fast delivery, and amazing packaging. :( email me at test@example.com LOL @seller didn't",positive
30,Absolutely loved this product! It works perfectly and exceeded my expectations. Worst!!! !!! :( OMG Best!!!,positive
31,"The design is beautiful, and the performance is excellent. Rs.499 :( Order #12345",positive
32,Everything arrived on time and in perfect condition. coooool :( visit https://example.com Order #12345 #awesome,positive
33,This is one of the best purchases I've made. ?? Best!!!,positive
34,Works exactly as described. Five stars! 100% Order #12345 ?? :-),positive
35,Fantastic value for money. Very satisfied! Best!!! coooool soooo,positive
36,"Great quality, fast delivery, and amazing packaging. ... SUPER!!! @seller",positive
37,Works exactly as described. Five stars! LOL Order #12345 100% :( ...,positive
38,Works exactly as described. Five stars! soooo coooool Worst!!!,positive
39,Works exactly as described. Five stars! visit https://example.com Order #12345 OMG Best!!!,positive
40,Fantastic value for money. Very satisfied! soooo email me at test@example.com visit https://example.com,positive
41,This is one of the best purchases I've made. ?? Rs.499 Best!!! !!!,positive
42,Fantastic value for money. Very satisfied! visit https://example.com @seller 100%,positive
43,Fantastic value for money. Very satisfied! LOL Best!!! OMG Order #12345,positive
44,Everything arrived on time and in perfect condition. SUPER!!! email me at test@example.com !!! 100% OMG,positive
45,"Great quality, fast delivery, and amazing packaging. Order #12345 #awesome ... coooool",positive
46,This is one of the best purchases I've made. LOL didn't email me at test@example.com #awesome SUPER!!!,positive
47,"Great quality, fast delivery, and amazing packaging. email me at test@example.com Worst!!! Order #12345 !!!",positive
48,Works exactly as described. Five stars! Best!!! SUPER!!! :( visit https://example.com ...,positive
49,"Great quality, fast delivery, and amazing packaging. Rs.499 ... SUPER!!! coooool",positive
50,This is one of the best purchases I've made. coooool email me at test@example.com Best!!! Order #12345,positive
51,The package arrived damaged and incomplete. OMG can't,negative
52,Waste of money. I wouldn't recommend it. Best!!! SUPER!!! Order #12345 Worst!!!,negative
53,The package arrived damaged and incomplete. Worst!!! ... 100% @seller,negative
54,It didn't match the description at all. LOL coooool Order #12345,negative
55,The package arrived damaged and incomplete. Worst!!! coooool soooo 100%,negative
56,Terrible experience. The product stopped working after one day. !!! email me at test@example.com coooool,negative
57,The product has many defects and poor performance. coooool email me at test@example.com 100% soooo LOL,negative
58,Waste of money. I wouldn't recommend it. ?? can't 100% @seller,negative
59,The product has many defects and poor performance. ?? ...,negative
60,I'm unhappy with this purchase. OMG Worst!!!,negative
61,Delivery was extremely late. Rs.499 :-) didn't,negative
62,Customer service was rude and unhelpful. Worst!!! @seller coooool,negative
63,Customer service was rude and unhelpful. !!! soooo ??,negative
64,The product has many defects and poor performance. Worst!!! Best!!!,negative
65,The package arrived damaged and incomplete. :-) ...,negative
66,It didn't match the description at all. Worst!!! !!! OMG,negative
67,The item looks cheap and poorly made. soooo Worst!!!,negative
68,Waste of money. I wouldn't recommend it. OMG 100% !!! can't email me at test@example.com,negative
69,The item looks cheap and poorly made. Order #12345 SUPER!!! LOL email me at test@example.com,negative
70,Waste of money. I wouldn't recommend it. SUPER!!! Worst!!! didn't :-) can't,negative
71,I'm unhappy with this purchase. ?? visit https://example.com,negative
72,Customer service was rude and unhelpful. can't :( Best!!! @seller OMG,negative
73,Customer service was rude and unhelpful. email me at test@example.com Rs.499 Best!!! soooo ??,negative
74,It didn't match the description at all. SUPER!!! OMG visit https://example.com :-),negative
75,The product has many defects and poor performance. Rs.499 SUPER!!!,negative
76,Waste of money. I wouldn't recommend it. LOL Order #12345 ?? #awesome,negative
77,The item looks cheap and poorly made. 100% :( didn't,negative
78,Terrible experience. The product stopped working after one day. Rs.499 email me at test@example.com can't didn't,negative
79,Delivery was extremely late. ... can't soooo,negative
80,I'm unhappy with this purchase. Best!!! SUPER!!!,negative
81,It didn't match the description at all. visit https://example.com OMG didn't :-) 100%,negative
82,Very disappointed with the quality. :-) didn't,negative
83,I'm unhappy with this purchase. email me at test@example.com 100% Order #12345 :( visit https://example.com,negative
84,Waste of money. I wouldn't recommend it. LOL :-) visit https://example.com soooo coooool,negative
85,The item looks cheap and poorly made. Best!!! :( ... didn't,negative
86,It didn't match the description at all. didn't coooool :-),negative
87,The package arrived damaged and incomplete. ... email me at test@example.com :( didn't #awesome,negative
88,I'm unhappy with this purchase. ... @seller Best!!!,negative
89,Terrible experience. The product stopped working after one day. 100% visit https://example.com didn't :-),negative
90,The package arrived damaged and incomplete. coooool Worst!!! #awesome 100%,negative
91,The product has many defects and poor performance. ?? email me at test@example.com OMG LOL 100%,negative
92,Delivery was extremely late. visit https://example.com coooool LOL Best!!! Rs.499,negative
93,Waste of money. I wouldn't recommend it. 100% Worst!!! can't,negative
94,Terrible experience. The product stopped working after one day. Worst!!! Rs.499 :-),negative
95,I'm unhappy with this purchase. visit https://example.com Best!!!,negative
96,Customer service was rude and unhelpful. email me at test@example.com LOL,negative
97,Terrible experience. The product stopped working after one day. @seller !!! ... SUPER!!!,negative
98,Waste of money. I wouldn't recommend it. #awesome email me at test@example.com LOL,negative
99,The item looks cheap and poorly made. :-) ... Order #12345,negative
100,Terrible experience. The product stopped working after one day. didn't LOL,negative
